timestamp,pm25,pm10,temperature_c,relative_humidity,wind_speed_ms,wind_dir_deg
2025-04-23T00:00,19.3,21.7,12.2,88,0.8333,147
2025-04-23T01:00,16.6,19.6,12.7,94,1.2222,153
2025-04-23T02:00,15.1,19.6,12.4,94,0.0556,360
2025-04-23T03:00,16.1,21.2,11.8,95,0.6389,113
2025-04-23T04:00,17.4,23.3,11.9,96,0.75,32
2025-04-23T05:00,17.8,23.5,14.0,87,0.7778,79
2025-04-23T06:00,17.6,23.0,16.3,75,0.6111,81
2025-04-23T07:00,15.9,22.4,18.2,68,1.2222,55
2025-04-23T08:00,14.4,20.0,19.6,66,2.0278,52
2025-04-23T09:00,13.2,17.6,20.9,61,2.2778,67
2025-04-23T10:00,11.4,16.0,22.0,57,2.2222,80
2025-04-23T11:00,10.1,15.5,22.5,54,2.3611,95
2025-04-23T12:00,9.5,15.6,23.1,48,2.4722,104
2025-04-23T13:00,9.8,15.8,23.8,36,3.75,102
2025-04-23T14:00,10.5,15.9,23.4,37,3.75,102
2025-04-23T15:00,10.9,16.0,22.4,41,3.8333,105
2025-04-23T16:00,11.3,18.1,21.0,49,2.9167,112
2025-04-23T17:00,12.0,19.2,19.0,55,2.3056,94
2025-04-23T18:00,15.1,20.1,17.0,59,2.25,87
2025-04-23T19:00,16.3,21.2,16.0,61,2.25,78
2025-04-23T20:00,16.0,21.2,14.4,68,2.0278,99
2025-04-23T21:00,15.6,19.6,13.3,79,1.4722,108
2025-04-23T22:00,14.2,18.8,12.4,85,1.2222,122
2025-04-23T23:00,13.3,18.9,11.9,87,0.6944,98
